vid_id,uploader_name,interval_fromytcreated_toupload,category,video_length,no_of_views,ratings,no_of_ratings,no_of_comments
3XPigp65wuE,JoNaSChIckA,1012,Entertainment,184,618,4.75,8,5
ffXgUHMdRuM,tookieclothespen,971,Music,184,18847,4.94,192,146
uCmOasCGrrI,NickJisoffmychain2,1079,Entertainment,243,424,5,1,1
4xgKgLDAqCc,llmcfly4ever,976,Music,184,2031,4.83,23,21
Y1AV9L7vKXw,taralovessyou,1068,People & Blogs,244,853,5,10,9
vdoENaESJy8,slowdownsugar92,1131,Entertainment,298,296,5,9,9
Bhi-Dv1ou6s,makemebad35,1117,Comedy,311,706655,3.74,7824,8346
1JAcdbKFygg,makemebad35,1106,Entertainment,90,620446,4.44,5232,5972
FO3kWIFfMa0,theEMOofMEXICOcity,1134,Comedy,263,592,3.59,17,33
04OouL7KEY0,Alow411,1103,Comedy,191,399,2.33,3,2
DP6zmg6gQig,theEMOofMEXICOcity,1134,Comedy,124,1036,2.74,31,51
fSg3ite2r4o,theEMOofMEXICOcity,1134,Entertainment,266,196,4.43,7,6
ECrRDqu0UBk,Hiramthedude,1107,Entertainment,81,1564,3.06,16,22
4i3UJT6ONjU,puebloplug,1118,Comedy,5,6698,2.77,126,113
z5A8jvcr1SY,saettowulf,1119,Entertainment,30,482,3.08,12,8
MKmPG_FgLeA,puebloplug,1131,Comedy,10,333,3.4,5,17
#NAME?,connor442,1123,Entertainment,120,447,2.5,8,18
nXrgLWNv8vI,theEMOofMEXICOcity,1130,Comedy,13,231,2.25,4,2
o4tXovyg12s,ajaxouch,1107,Entertainment,27,962,2.55,11,8
EA4AIERt83A,mshroomz,1119,Comedy,76,2203,1.96,46,67
SmpG7-NfSiE,CatPicture420,1107,Entertainment,66,1861,2.28,36,26
y0ZKSXmZEe8,zahirbryant,1123,Entertainment,16,118,0,0,0
FwRdMhrjw48,blind3091,0, UNA ,1,2674,2.14,7,8
nTPeTgIPeBs,puebloplug,1118,Entertainment,14,416,2.4,10,8
nz6zg5SGnUU,IntireWorldOfKris,1136,Comedy,30,42,1,2,0
48kM2-0ijEw,WASTEofLIVING,1119,Comedy,6,603,2.33,6,8
TdCAJbwfKVM,smpfilms,1129,Comedy,77,75790,4.46,1145,530
#NAME?,MediocreFilms,1084,Comedy,104,319059,4.62,1717,1429
yioJQFrqMXM,MediocreFilms,946,Comedy,100,916279,4.52,3510,2442
1YU82RS5elI,MediocreFilms,604,Comedy,275,660053,4.53,2369,990
rYnnT7QMDe8,ponceman,948,Comedy,36,152283,4.82,781,1477
Kkc2KinHWiM,MediocreFilms,1008,Comedy,79,757104,4.4,2523,2253
iEhhyugT42o,MediocreFilms,1112,Comedy,154,40476,4.38,611,265
kjYvzFL6GDw,MediocreFilms,1059,Comedy,320,35135,4.73,477,316
_V8VaJL-s3Q,MediocreFilms,961,Comedy,98,628205,4.55,2321,1928
FRCBBxu7ugg,LisaNova,1129,Entertainment,199,420922,3.63,2673,1776
tSdjJjWOoVQ,MediocreFilms,833,Comedy,299,278984,4.7,1974,1812
P87JMvi7TdY,smpfilms,1127,Comedy,151,125415,4.8,1458,1180
Qit3ALTelOo,smpfilms,932,Pets & Animals,210,7939352,4.76,56767,39418
VMygtlH-Vxg,MediocreFilms,603,Comedy,283,125772,3.74,744,312
cI1AwZN4ZYg,JamesNintendoNerd,1127,Entertainment,355,928456,4.93,12959,5935
_tYUSku-22g,Manintheboxshow,1129,Entertainment,84,3858,4.92,120,45
2U3suqfWRz8,MediocreFilms,1071,Comedy,101,297416,4.55,1619,1138
xjnVEsXtNIU,smpfilms,717,Comedy,247,164755,4.49,1891,1299
YceTblLkS8Y,MediocreFilms,954,Comedy,104,601612,4.59,2143,1372
q0J7ZkKxc2o,SlamBody,1133,Comedy,163,547,0,0,8
vAO8IiSgD8I,AltmmM,954,Entertainment,65,173,3.75,4,7
8Oz548qYZr8,iRespond2U,1135,Entertainment,7,95,2.33,3,4
TKRjV6JW8s0,Alyssa1089,1134,Entertainment,128,213,1,5,11
t8DezF2FufU,2AMERICANBOYS,1133,Comedy,210,150,3,4,10
nBf4Ivs9cUs,kittybrucknell,1086,Music,263,1250,4.89,44,82
raR2V1ik_UI,Fluffycatz,726,Entertainment,258,4468,4.8,25,14
H6vj5ziE-bQ,queenofamerica,869,Entertainment,170,839,4.86,7,8
yOTYOX61ujw,baliel91,1097,Music,206,412,0,0,2
qu1L0IzzNsk,mrfudgethecat,1039,Pets & Animals,186,780,4.38,8,3
JqXpJKyr-MU,kittybrucknell,1091,People & Blogs,433,868,4.97,33,45
VoHFXWiYQ8o,flightsuit,737,Film & Animation,539,5110,4.64,11,16
ERkCLNR3vN8,antmranking,1123,Entertainment,149,714,4,4,0
gSaMVy-F6d8,Northstar1109,1088,Film & Animation,192,2238,4.81,42,21
13HvTXVuEb8,Viet4lyfeboy,1121,Music,215,844,0,0,1
TEAbQUGAIbo,atomicneko,1131,Film & Animation,344,596,5,1,6
ruDmcjhSg_0,markjv,538,Pets & Animals,93,42105,3.08,78,63
BR_z4Jz9cug,morningperson12,1110,Music,39,445,5,4,6
lBmAiAzDcI0,ThePwnageNinja,1097,Entertainment,264,108495,4.7,2131,1653
R_yGEvVyqVI,GeneralJeroboam,1124,Entertainment,270,9990,2.09,131,83
G_ADRGR0Nyo,ThePwnageNinja,1122,Entertainment,33,63587,4.8,1252,736
